WT1	WT2	WT3	LSD1ko1	LSD1ko2	LSD1ko3
Vapb	241	335	207	662	904	848
Stx16	187	243	94	824	582	786
Npepl1	453	555	463	1148	1135	836
Gm10714	0	0	0	2	0	0
Nespas	1	4	2	4	9	9
Ctsz	1578	1500	1293	4327	5835	5117
Nelfcd	481	515	381	1236	1478	1341
Prelid3b	345	520	260	1352	1530	1224
Atp5e	1323	2977	1861	3241	5469	3089
Zfp831	62	66	41	205	220	201
Gm14393	0	0	0	0	1	0
Gm14305	0	10	4	11	6	10
Gm14295	2	6	7	8	11	10
Gm14403	1	1	0	4	1	1
Gm14322	0	1	0	0	0	0
Gm14325	6	53	19	87	93	56
Gm14327	0	0	0	1	0	0
Gm14326	6	19	6	41	31	29
Zfp972	4	1	0	10	9	8
Zfp931	3	8	2	24	11	10
Zfp971	20	48	24	134	132	99
Fam217b	0	0	1	2	0	1
Ppp1r3d	0	0	0	0	0	1
Mtg2	115	135	109	239	338	273
Ss18l1	34	41	15	94	73	102
Lsm14b	282	243	177	553	611	612
Psma7	1464	2487	1785	3584	5450	3557
4921531C22Rik	15	32	18	43	65	71
Osbpl2	207	258	156	431	758	635
Adrm1	343	313	225	903	1069	790
Rps21	3629	6954	3801	9760	15875	9119
Mir3091	0	2	0	5	1	0
Cables2	350	306	195	978	893	956
Slco4a1	140	89	74	285	481	573
Mir1a-1hg	0	0	0	3	3	0
Ogfr	569	519	391	1633	1639	1361
Mrgbp	123	118	78	318	317	282
Slc17a9	12	12	11	85	39	67
Dido1	382	489	235	1757	1486	1776
Gid8	440	614	360	1315	1504	1433
Tcfl5	0	0	0	0	0	1
Arfgap1	247	287	228	771	795	757
Ythdf1	373	336	240	1159	1033	1262
Kcnq2	0	0	0	8	0	0
Helz2	1280	1379	1087	5014	3215	4341
Srms	3	14	8	35	17	18
Ptk6	0	2	0	3	0	0
Ppdpf	420	459	325	884	1511	903
Fndc11	5	4	6	7	20	12
Rtel1	334	336	228	1272	1052	1071
Arfrp1	178	190	121	569	610	482
Zgpat	134	120	109	493	362	316
Stmn3	0	1	0	1	0	0
Lime1	104	115	70	669	266	363
Slc2a4rg-ps	17	22	13	155	44	56
Abhd16b	0	0	0	2	1	0
Tpd52l2	271	379	250	637	982	749
Uckl1os	2	7	1	15	14	10
Uckl1	144	206	157	431	470	354
Prpf6	401	403	278	1374	1675	1302
Samd10	113	77	54	249	290	348
Zfp512b	140	141	66	703	450	530
Oprl1	1	1	2	0	2	1
Tcea2	14	16	9	59	45	47
Rgs19	691	748	575	1794	2150	1929
Sox18	0	1	0	1	1	0
Polr3k	179	364	166	739	962	805
Pcmtd2	55	105	41	269	224	324
Rsrc1	75	210	83	513	513	496
4930593A02Rik	2	3	1	9	17	11
Man1a2	145	258	103	783	778	968
Gbp2b	0	2	0	23	2	7
Zfhx4	2	0	0	0	1	1
Zfp704	5	6	1	10	7	7
Tnik	0	1	0	24	10	13
Abhd18	7	21	6	82	54	73
Gm6639	0	0	0	0	1	0
Proser1	143	133	69	466	311	454
Ankub1	0	1	0	22	34	28
Slc33a1	56	92	48	340	252	404
Fstl5	0	0	0	0	0	1
Rxfp1	0	0	0	0	1	1
Nup210l	18	19	9	103	80	86
Fbxw7	139	223	116	685	568	794
Tspan2	12	49	22	201	197	243
Capza1	465	1356	485	1767	2491	2355
Tmigd3	0	1	0	2	0	0
Dclre1b	72	102	66	226	243	276
Adora3	0	0	0	0	0	1
Cdc14a	98	172	89	428	488	508
Sec24b	306	277	140	1048	707	1058
Bank1	466	1586	651	4294	4226	4045
Stpg2	0	0	0	1	0	0
Unc5c	0	0	0	0	1	0
Cenpe	406	1329	476	4039	2775	1931
Sh3glb1	502	1440	637	2150	2839	2400
Adgrl2	2	9	12	287	12	71
Prkacb	580	864	423	1837	2669	3012
Lrriq3	0	2	0	5	3	4
Il7	0	0	0	6	1	1
Mrps28	139	203	138	449	575	312
Pag1	291	476	190	1543	1225	2010
Gm9833	2	3	0	23	19	13
Lrrcc1	47	346	102	495	629	453
Gm5150	1	34	15	0	9	103
Pde7a	578	910	411	2452	2287	2389
Armc1	225	460	219	733	863	1012
Tbl1xr1	347	604	268	1288	1521	1801
Ect2	242	644	259	1505	1382	1616
Pld1	2	4	5	0	2	28
Fndc3b	5	8	7	39	3	44
Phc3	74	155	66	691	363	674
Sec62	132	410	158	1069	874	878
Dnajc19	116	191	86	331	472	355
Ccdc39	0	5	0	9	4	2
Ccna2	1347	1815	943	5454	5149	4984
Dcun1d1	56	270	65	234	331	386
Atp11b	154	436	198	1311	1006	1173
4932438A13Rik	259	717	309	2547	2201	2232
Il21	0	0	0	11	7	3
Spata5	88	141	93	407	492	452
Hspa4l	40	98	27	193	195	228
Intu	1	5	5	31	30	34
Sclt1	26	100	33	332	276	175
Noct	95	102	42	247	199	285
Maml3	0	6	4	10	7	36
Foxo1	848	687	383	2439	1801	2716
Lhfp	1	0	0	0	1	1
Smad9	0	0	0	0	0	1
Dclk1	0	0	0	0	2	2
Nbea	11	0	1	60	18	27
Wwtr1	4	0	0	6	1	3
Rnf13	59	219	70	487	429	644
Selenot	478	1287	458	2215	2446	3124
Tsc22d2	113	99	47	515	361	466
Med12l	9	11	9	75	41	55
P2ry12	7	45	19	36	47	160
Mbnl1	705	2419	817	4521	5154	6555
Arhgef26	0	1	0	2	0	2
Plch1	1	0	0	6	0	2
Tiparp	36	81	29	288	150	186
Kcnab1	1	1	0	10	22	13
Lekr1	1	10	3	9	12	20
Rarres1	2	2	1	15	19	16
Ift80	77	187	69	335	324	373
Kpna4	250	698	236	1390	1521	1699
Ppm1l	6	3	1	62	64	69
Nmd3	137	565	196	867	1005	850
Gm6634	1	0	0	0	0	0
Zbbx	0	0	0	4	0	4
Golim4	21	39	23	296	150	187
Serpini1	10	38	7	134	122	134
Fnip2	12	23	13	15	49	71
Tmem144	2	1	1	2	8	8
Pdgfc	0	5	5	3	2	59
Gucy1b3	0	0	0	2	0	0
D930015E06Rik	2165	2156	1389	6029	6330	7026
Arfip1	102	291	108	568	640	708
Trim2	10	16	2	39	28	41
Tmem154	7	12	5	241	41	61
Mnd1	32	84	35	132	167	127
Fam160a1	6	3	4	36	30	23
Gatb	91	133	102	220	391	293
Dclk2	4	3	1	53	17	23
Lrba	80	133	59	749	594	716
Sh3d19	13	21	6	85	128	118
Kirrel	10	1	0	10	17	34
Arhgef11	112	89	81	247	213	303
Gon4l	210	180	127	716	585	647
Ash1l	126	301	103	1434	621	880
Smg5	721	888	699	2245	2433	2226
Ubap2l	1283	1438	926	4098	4122	4495
Zbtb7b	102	119	103	322	490	443
Tuft1	31	20	9	79	70	57
Snx27	257	311	182	1103	740	1048
Fam63a	181	190	163	471	657	655
Cgn	3	1	0	3	5	0
Anp32e	1954	2858	1366	7432	8039	8060
Ctss	956	2291	1089	4393	5279	6212
Rprd2	189	197	90	767	555	737
Adamtsl4	11	12	5	87	37	30
Rnf115	278	641	201	1072	1318	1414
Pdzk1	10	16	10	42	36	65
Sec22b	243	302	156	984	1092	770
Fmo5	31	38	32	80	125	188
Pde4dip	139	181	119	599	543	839
Notch2	121	109	84	1026	499	766
Tbx15	0	0	0	0	1	1
Wdr3	248	397	181	1301	1059	1002
Spag17	0	1	1	5	1	0
Trim45	17	17	6	31	37	47
Ptgfrn	9	2	0	5	1	1
Igsf3	0	0	0	35	2	2
Atp1a1	1441	1452	1159	3328	4213	4613
Ngf	0	1	0	0	0	0
Trim33	243	572	195	1421	1492	1669
Csde1	581	2122	740	4054	3998	3454
Dennd2c	6	2	0	7	7	16
Magi3	14	7	6	63	36	63
Rsbn1	52	111	41	394	294	394
Lrig2	75	156	48	408	403	392
Rap1a	270	1093	358	1693	2022	1833
Dram2	79	436	113	320	655	834
Lrif1	43	193	49	399	383	433
Csf1	5	2	3	96	5	9
Cym	0	0	0	0	1	0
Clcc1	105	264	115	532	548	510
Celsr2	10	11	10	32	8	8
Psma5	447	703	397	1537	1728	1238
5330417C22Rik	0	0	0	0	5	4
Gnai3	323	992	333	2145	2219	2223
Vav3	2	7	3	48	47	110
Slc30a7	96	143	74	592	485	573
Mfsd14a	241	406	157	894	1129	1129
Dbt	50	125	40	454	371	410
Agl	14	14	17	120	80	113
Snx7	4	1	3	0	0	9
Slc44a3	0	0	0	1	0	0
Bcar3	1050	786	573	2524	2887	2564
Fnbp1l	5	0	0	11	8	12
Abcd3	92	175	81	388	348	449
Pde5a	2	0	0	9	0	0
Synpo2	0	0	0	17	0	2
Prss12	1	0	0	3	2	0
Sec24d	64	51	45	542	225	410
Usp53	19	85	18	140	151	148
Camk2d	444	880	408	1861	2236	2500
Tifa	93	204	87	510	618	497
Ank2	0	2	6	0	2	32
Pla2g12a	201	158	148	623	798	622
Elovl6	33	51	17	172	257	220
Lef1	0	1	0	5	3	13
Papss1	94	114	58	413	300	351
Sgms2	5	0	0	0	0	2
Gstcd	137	150	112	478	540	499
Npnt	20	1	1	5	10	2
Tbck	44	103	55	274	245	292
Nfkb1	902	916	624	2767	2983	3234
Slc9b1	0	0	0	1	0	0
Manba	86	128	55	319	294	357
Ppp3ca	241	400	187	1599	1157	1266
Dnajb14	9	13	11	39	21	31
Trmt10a	64	132	75	221	255	230
Rap1gds1	285	468	217	1077	1113	1503
Tspan5	150	160	100	326	432	325
Eif4e	366	833	274	1493	1482	1469
Pdlim5	81	85	42	419	330	405
Pkn2	127	291	115	904	633	604
Kyat3	43	53	31	116	168	173
Hs2st1	50	59	34	209	160	190
Selenof	676	1710	796	2448	3524	3033
Clca3b	2	0	0	0	0	0
Ssx2ip	95	101	52	278	197	231
Ddah1	1	0	0	0	0	1
Ttll7	0	0	0	1	0	0
Adgrl4	0	0	0	2	0	0
Ak5	2	1	0	0	0	0
Zzz3	211	432	153	1078	1125	933
Miga1	105	218	72	634	391	491
St6galnac5	0	1	0	0	1	0
Msh4	0	0	1	0	3	0
St6galnac3	0	6	0	21	22	14
Depdc1a	23	156	31	120	93	157
Wls	14	17	14	150	148	313
Pex2	109	275	91	519	642	567
Pkia	2	1	0	0	0	0
Zc2hc1a	10	32	14	72	67	83
Gm6194	1	1	3	2	1	0
Hey1	0	1	1	3	3	2
Tpd52	528	1069	469	1519	3103	3035
Zbtb10	1	2	2	19	10	3
Fabp5	36	55	41	269	161	190
Fabp4	0	7	1	5	2	6
Impa1	323	516	270	1406	1599	1473
Zfand1	30	64	19	152	197	147
Chmp4c	1	1	0	0	0	1
Snx16	15	36	16	67	66	70
Car13	155	275	111	950	902	961
E2f5	81	131	44	235	307	280
1810022K09Rik	45	211	120	177	263	296
Car1	0	1	6	9	8	9
Car2	18	46	40	271	964	1036
Car3	0	0	0	0	1	3
Gm9733	0	1	2	0	1	0
Sirpb1a	2	32	10	4	5	76
Sirpb1b	2	12	5	3	3	32
LOC100038947	0	1	0	0	1	10
Ythdf3	195	473	198	1303	1086	1370
Mtfr1	149	237	105	525	610	517
4632415L05Rik	26	61	18	178	154	254
Hps3	114	258	118	707	610	728
Cp	0	6	1	35	6	30
Gyg	300	582	270	946	1541	1232
Hltf	75	389	130	948	826	755
Cpb1	0	1	0	16	0	0
Cpa3	0	0	0	0	0	1
Nceh1	43	87	67	273	196	447
Tnfsf10	1	3	5	44	13	35
Mir3092	0	0	0	0	0	2
Eif5a2	59	229	76	370	414	373
Rpl22l1	463	1762	1065	2100	3570	2361
Mynn	70	194	71	445	405	351
Lrrc34	0	0	0	1	0	0
Actrt3	0	0	0	2	0	0
Gpr160	1	6	7	19	4	55
Prkci	55	48	46	243	156	243
Skil	127	285	134	800	622	833
Slc7a14	0	0	0	0	0	1
Zmat3	75	64	23	280	142	248
4930429B21Rik	0	0	0	3	3	0
Kcnmb3	1	1	5	6	18	8
Pik3ca	238	483	202	1153	1236	1194
Zfp639	121	277	111	466	522	581
Mfn1	63	119	77	332	327	321
Gnb4	68	131	55	386	306	305
Actl6a	637	974	526	1669	2292	1792
Mrpl47	59	200	86	308	355	251
Ndufb5	495	967	430	1592	2183	1410
Ttc14	84	253	81	913	481	493
Fxr1	175	777	237	1165	1238	897
Mccc1	43	55	31	203	155	178
Mccc1os	0	2	0	0	3	1
Acad9	133	162	115	576	538	524
D3Ertd254e	10	22	7	92	52	69
Qrfpr	1	0	0	2	1	0
Exosc9	156	352	128	838	989	668
Anxa5	63	67	83	282	158	383
1810062G17Rik	2	1	0	12	5	7
Bbs7	2	13	3	21	12	17
Il2	1	1	0	0	1	3
Bbs12	15	38	14	99	104	85
Cetn4	4	10	2	19	27	32
Nudt6	53	55	42	146	199	149
Spry1	1	0	0	1	0	0
Gm5148	0	7	3	20	15	16
Ankrd50	36	18	15	124	63	101
Slc25a31	0	2	0	0	0	4
Mfsd8	22	80	20	114	159	177
Plk4	213	571	199	1458	1173	1046
Gm2011	0	0	0	2	0	0
1700034I23Rik	0	0	0	0	0	2
Larp1b	50	48	25	187	165	166
Pgrmc2	161	167	112	526	497	537
Jade1	90	96	55	357	308	387
D3Ertd751e	21	90	29	152	129	114
Pabpc4l	0	0	0	1	0	0
Pcdh18	0	0	0	0	0	2
Slc7a11	4	6	3	9	18	9
Elf2	348	534	260	1193	1353	1215
4930577N17Rik	20	13	10	24	24	24
Ndufc1	213	345	214	630	843	481
Mgarp	1	0	2	10	12	9
Naa15	264	812	257	1714	1468	1612
Rab33b	46	82	31	163	277	270
Setd7	235	260	116	791	661	956
5031434O11Rik	1	3	3	4	3	4
Mgst2	6	23	3	174	97	95
Gm2447	76	196	110	229	388	233
Cog6	195	277	181	763	826	858
Nhlrc3	15	20	20	103	57	119
Stoml3	2	0	0	0	0	1
Ufm1	157	316	138	546	698	648
Postn	0	0	1	0	1	7
Supt20	205	421	150	960	982	968
Alg5	100	197	110	426	431	384
Exosc8	469	967	366	1625	1924	1364
Rfxap	100	75	48	222	271	212
Spg20	47	62	38	213	166	261
Sohlh2	0	1	0	0	0	2
Tm4sf1	55	4	0	4	3	2
Tm4sf4	39	2	0	2	3	0
Commd2	283	582	311	692	1211	894
Pfn2	81	117	43	498	609	747
Serp1	2752	6300	2208	8423	12955	14448
Eif2a	395	1320	435	2414	2643	2220
Siah2	450	357	242	945	1244	1270
Gm8234	0	0	0	0	1	2
Erich6	0	1	1	2	0	0
Gpr171	22	107	24	300	266	200
P2ry14	3	12	2	44	56	130
P2ry13	9	140	70	44	34	650
Igsf10	0	1	1	7	3	17
Sucnr1	0	0	0	0	0	1
P2ry1	0	0	0	3	1	0
Rap2b	51	39	31	140	142	281
Dhx36	135	440	137	1018	869	1017
E130311K13Rik	2	11	4	27	33	31
Gmps	281	727	247	1675	1562	1533
Ssr3	512	1239	379	3031	2524	3330
A730090N16Rik	1	1	0	2	5	2
4931440P22Rik	4	3	0	12	16	11
Ccnl1	255	425	190	1598	985	945
Mlf1	5	13	5	51	56	27
Gfm1	270	304	172	1062	1104	995
Lxn	94	169	91	298	383	277
Mfsd1	235	323	188	875	873	1245
Il12a	9	8	3	71	61	35
1110032F04Rik	1	0	0	2	0	4
Smc4	741	3137	1029	6669	5538	4077
Trim59	385	1055	289	1852	1816	2641
Arl14	1	0	1	0	1	1
B3galnt1	1	12	11	0	4	33
Pdcd10	135	604	186	631	862	788
Platr10	1	1	1	8	3	2
Rapgef2	58	49	29	167	145	186
4921511C10Rik	0	2	0	1	14	3
Ppid	204	468	160	987	854	719
Etfdh	117	200	85	520	542	500
4930579G24Rik	121	160	89	351	386	395
Fam198b	0	1	0	7	10	10
A830029E22Rik	0	0	1	0	0	0
Tdo2	0	0	0	1	0	2
Ctso	235	543	184	1859	2115	1964
Gucy1a3	0	0	0	0	1	0
Map9	1	1	1	13	11	35
Plrg1	401	682	335	1312	2047	1449
Fga	0	0	0	0	0	1
Sfrp2	0	1	0	0	2	0
Tlr2	6	32	28	63	41	171
Gm6525	17	16	6	26	29	23
Fhdc1	1	1	2	5	1	1
Glt28d2	1	2	1	7	4	9
Rps3a1	3607	9846	3862	16307	23373	14095
Snord73a	0	0	1	3	1	0
Rnu73b	1	2	0	9	5	2
Mab21l2	0	1	0	19	9	4
Cd1d1	11	26	15	89	48	141
Cd1d2	1	0	0	0	2	0
Fcrls	1	2	0	0	2	2
Fcrl1	881	1319	884	2850	4273	3510
Cd5l	66	480	534	106	145	2146
Etv3	135	131	47	799	587	552
Fcrl5	21	40	12	799	119	91
Insrr	0	0	0	7	0	0
Lrrc71	4	3	0	11	10	8
Pear1	168	165	118	375	540	696
Ntrk1	0	0	0	1	0	0
Hdgf	1950	1768	1451	4776	5936	4984
Isg20l2	377	349	205	1190	1291	1346
Prcc	360	340	314	850	1005	951
Mrpl24	189	302	172	628	850	556
Sh2d2a	51	38	27	238	187	270
Rrnad1	61	73	42	296	217	202
Gpatch4	132	141	77	721	468	404
Apoa1bp	165	246	248	385	527	376
Nes	2	0	1	1	1	1
Mef2d	695	578	389	2200	1722	2185
Iqgap3	143	144	105	440	342	570
1700113A16Rik	8	7	2	18	17	14
Cct3	1846	2927	1712	5804	6845	5542
Tsacc	13	15	14	38	35	22
Glmp	278	282	218	730	803	899
Tmem79	25	14	17	42	54	42
Slc25a44	130	133	119	424	477	504
Bglap	1	0	0	3	0	0
Sema4a	4	0	2	30	14	22
Pmf1	573	619	563	1370	1933	1431
Lmna	25	3	10	7	6	12
Ssr2	566	732	612	1933	1977	1829
Ubqln4	299	199	186	854	566	790
Lamtor2	208	329	192	690	1034	721
Rab25	6	3	4	6	16	7
Mex3a	7	6	4	2	8	7
Arhgef2	758	629	454	1896	2125	2447
Rit1	120	204	135	353	567	429
2810403A07Rik	298	462	243	1191	1394	1330
5830417I10Rik	102	96	63	310	235	377
Syt11	59	73	46	236	270	393
1500004A13Rik	9	11	7	43	23	35
Msto1	131	102	100	368	355	309
Dap3	666	865	609	1398	2016	1632
Fdps	476	678	642	1056	1920	1061
Rusc1	123	150	123	360	433	359
Krtcap2	245	311	224	871	1041	785
Muc1	3	4	4	16	26	41
Fam189b	8	10	8	49	30	26
Gba	155	212	198	514	537	661
Scamp3	4	3	2	17	13	7
Mtx1	292	341	258	638	943	715
Hcn3	4	3	6	19	2	0
Clk2	58	45	35	209	149	151
Pklr	4	0	0	0	0	1
Trim46	13	3	4	34	56	58
Thbs3	1	1	0	4	5	5
Dpm3	117	188	161	256	453	262
Adam15	6	6	2	53	17	19
Dcst1	0	1	0	0	0	5
Slc50a1	207	263	162	680	804	780
Efna4	2	0	1	1	0	1
Efna1	2	5	4	7	34	12
Pygo2	287	301	240	728	719	741
Pmvk	246	190	216	790	906	594
Shc1	410	434	314	1080	1362	1254
Cks1b	620	904	484	1910	2336	1734
Flad1	183	177	149	547	535	460
Lenep	16	18	5	34	48	47
Pbxip1	403	399	286	1151	1242	1249
Gm15417	0	6	6	10	17	3
Chrnb2	10	12	6	48	22	33
Adar	521	464	465	2045	1638	1915
4632404H12Rik	3	7	4	62	37	32
Ube2q1	791	781	571	2150	2781	2260
Il6ra	30	51	36	158	261	390
She	0	0	0	1	1	0
Hax1	154	244	189	355	555	397
Gm19710	1	2	1	11	6	8
Atp8b2	399	395	313	1555	1520	1732
Tpm3	1619	2096	1289	5575	6342	5452
4933434E20Rik	176	356	163	557	825	704
1700094D03Rik	27	47	13	120	110	75
Dennd4b	442	473	292	1545	1004	1399
Slc39a1	157	179	144	466	543	584
Creb3l4	0	2	1	7	5	0
Rab13	0	6	4	12	7	11
Rps27	10	7	10	50	41	20
Jtb	216	328	143	935	1289	792
Crtc2	322	306	226	999	766	826
Ints3	617	602	547	1389	1468	1755
Gatad2b	121	145	73	468	414	406
Slc27a3	7	6	2	50	13	8
Chtop	705	947	487	2450	2577	2763
Npr1	1	1	0	6	1	4
S100a16	5	0	0	0	5	2
Ilf2	605	944	500	1875	2196	1714
Snapin	102	164	83	421	518	478
S100a14	0	0	0	1	1	0
S100a13	151	366	229	412	868	508
S100a1	7	16	10	24	37	33
S100a3	1	0	0	1	0	0
S100a7a	2	0	0	0	0	1
S100a9	1	0	2	5	6	10
S100a8	0	4	0	6	8	5
S100a4	2	1	0	8	8	3
S100a6	237	5	4	48	42	29
4930529C04Rik	0	0	0	2	0	0
Lor	0	0	0	2	0	2
Sprr2h	3	0	0	0	0	0
Sprr1a	101	1	2	8	9	10
Lce1b	1	0	0	0	0	0
S100a11	85	79	80	349	510	435
S100a10	34	45	21	530	149	60
Them4	10	18	4	82	74	75
Celf3	0	0	0	0	0	1
Mrpl9	351	427	272	1226	1738	1175
Tdrkh	1	7	3	4	5	23
Riiad1	0	0	0	0	0	2
Oaz3	0	1	0	0	0	2
Pogz	205	195	103	656	519	754
Psmb4	1477	2058	1317	4049	5656	3770
Zfp687	175	162	114	529	395	525
Pi4kb	798	1033	924	1730	2897	2324
Mir7013	0	0	0	2	1	1
Rfx5	365	390	226	1442	1110	1356
Selenbp1	0	2	5	5	4	12
Pip5k1a	186	202	138	517	626	619
Psmd4	966	965	787	2326	3141	2415
Vps72	323	360	316	566	971	629
Tnfaip8l2	145	261	188	372	713	476
Scnm1	166	321	165	382	623	456
Tmod4	2	0	1	8	18	4
Lysmd1	13	17	8	36	44	34
Gabpb2	722	1013	452	3446	3272	3272
Bnipl	0	0	0	0	1	1
Cdc42se1	827	706	620	2581	2900	2410
Mllt11	21	27	9	90	60	51
Sema6c	1	0	0	0	0	0
Prune	97	95	70	265	398	403
Gm16740	2	1	1	0	2	2
Cers2	497	652	420	1548	1780	2119
Anxa9	10	13	7	69	135	152
Setdb1	329	411	232	1304	1018	1196
Arnt	227	269	164	796	847	873
Ctsk	1	0	0	0	1	0
Gm4349	0	1	0	3	3	4
Golph3l	124	388	119	720	796	756
Hormad1	0	0	0	0	0	1
Ensa	594	898	556	1654	2319	1843
Mcl1	2054	2128	967	6096	6307	7495
Tars2	266	237	227	928	806	837
Ecm1	15	11	3	48	21	30
Prpf3	327	531	269	1140	1248	986
Aph1a	126	178	122	302	481	498
Car14	0	0	0	8	1	0
C920021L13Rik	4	6	0	34	12	15
BC028528	20	83	26	98	242	154
Mrps21	286	532	316	608	1020	586
Ciart	8	11	4	26	19	16
Vps45	273	549	288	556	1223	796
Plekho1	2578	2660	2602	3457	7293	4567
Gm9054	23	27	28	38	74	66
Mtmr11	6	2	2	19	16	15
Bola1	55	77	52	219	233	124
Sv2a	1	5	2	30	13	16
Sf3b4	254	215	184	640	599	730
Otud7b	108	108	67	498	468	532
Hist2h3b	1	0	0	0	0	2
Hist2h2ab	0	0	0	2	0	0
Hist2h4	1	8	4	2	8	5
Hist2h2be	32	45	17	98	121	115
Hist2h2bb	1	8	3	9	12	9
Hist2h2ac	1	5	2	9	10	2
Fcgr1	4	72	89	18	12	245
BC107364	0	0	0	0	9	3
Terc	1	1	1	4	2	0
Polr3gl	59	68	43	177	250	281
Txnip	636	790	549	1478	2677	2536
Ankrd34a	0	0	0	0	2	1
Gm15441	3	9	5	7	31	28
6330549D23Rik	5	13	6	22	35	26
Pias3	75	54	58	223	171	205
Pex11b	118	124	87	367	390	376
Rbm8a	385	437	221	1605	1567	1201
Polr3c	384	475	309	1091	1481	1174
Lix1l	20	24	18	33	45	45
Nudt17	1	1	0	6	0	2
Itga10	10	11	9	26	25	24
Cd160	0	1	0	5	4	6
Gja8	0	0	0	0	1	1
Gpr89	81	100	69	272	306	290
Bcl9	97	92	56	525	246	406
Acp6	51	58	20	124	193	212
Chd1l	163	198	122	638	650	626
Prkab2	16	30	12	95	80	84
Phgdh	977	1035	907	2443	3603	2485
Zfp697	3	0	0	0	1	0
Wars2	28	42	31	118	130	147
Gdap2	106	221	93	533	560	481
Fam46c	160	129	115	540	631	686
Ttf2	292	285	182	1110	924	1034
Cd101	7	7	7	32	33	32
Cd2	513	840	573	2000	2378	1402
Mab21l3	1	0	0	0	8	5
Slc22a15	103	115	67	480	326	394
Vangl1	5	2	1	14	1	3
Tspan2os	0	0	0	5	2	0
Sike1	109	189	90	483	477	410
Nras	385	612	331	1526	1772	1753
Bcas2	343	518	273	1304	1414	1262
Atg4a	16	27	8	65	84	92
Olfml3	0	0	0	5	4	3
Hipk1	1119	1486	658	3658	4466	5639
Gm15471	0	2	1	4	3	3
Ap4b1	124	161	97	476	581	499
Ptpn22	16	64	37	553	181	349
Bcl2l15	1	1	1	7	1	6
Phtf1os	1	0	0	1	4	2
Phtf1	162	190	97	691	522	565
Slc16a1	208	348	138	893	960	1171
Mov10	91	63	61	286	125	241
Rhoc	11	5	4	6	6	17
Ppm1j	5	4	2	6	11	6
Fam19a3	0	0	0	0	0	3
St7l	45	67	42	193	189	188
Wnt2b	0	0	0	1	2	1
Cttnbp2nl	4	15	5	18	3	57
Fam212b	11	5	4	16	22	20
Ddx20	162	305	134	684	669	714
Gm5547	6	20	4	62	130	78
Pifo	0	0	0	7	3	7
Ovgp1	3	4	1	37	17	13
Wdr77	234	225	142	974	788	912
Atp5f1	1069	2569	994	4544	5932	3965
I830077J02Rik	0	14	5	21	20	58
Chil5	0	0	0	4	1	2
Chia1	2	0	0	0	5	2
Chil6	0	0	0	0	3	1
Dennd2d	169	288	175	443	726	801
Cept1	140	614	179	549	704	986
2010016I18Rik	0	0	0	6	5	8
Cd53	1144	5664	1550	4506	6593	7788
Kcna3	36	42	13	294	201	180
AI504432	70	157	56	529	337	609
Kcna2	8	42	31	9	10	408
Rbm15	147	142	82	544	555	479
Lamtor5	281	608	321	802	1189	911
Slc16a4	0	2	0	9	2	8
Ahcyl1	299	335	181	1951	980	1387
Strip1	261	321	219	849	862	721
Gstm7	1	3	0	0	0	0
Gstm5	2	1	1	2	0	4
4933431E20Rik	0	0	1	0	0	1
Gstm4	26	28	15	108	93	84
Gstm1	5	6	9	11	14	46
Ampd2	247	195	184	710	594	717
Gnat2	6	6	0	7	22	25
Cyb561d1	75	99	58	284	279	279
Atxn7l2	42	31	41	126	124	108
Amigo1	7	8	6	21	10	17
Gpr61	0	0	1	1	0	0
Psrc1	127	140	101	366	581	447
Sort1	14	74	90	24	30	522
Mybphl	0	0	1	0	0	1
Gm12522	0	0	0	3	6	4
Sars	796	1014	903	1927	2746	2009
Wdr47	26	44	16	198	120	179
Tmem167b	128	196	77	516	547	564
Scarna2	0	0	1	1	2	0
Taf13	17	71	31	135	143	145
Gpsm2	323	463	219	1268	1686	1244
Fndc7	12	27	10	131	329	250
Prpf38b	445	659	274	2537	2262	1887
Stxbp3	70	213	119	407	423	354
Fam102b	30	34	19	102	115	221
Henmt1	0	0	0	1	3	3
Slc25a24	16	3	2	26	14	38
Prmt6	81	93	41	270	250	347
Amy2b	0	1	0	0	0	0
Rnpc3	40	126	31	281	251	284
Amy1	0	0	0	0	2	0
S1pr1	54	58	40	664	282	247
A930005H10Rik	40	61	48	202	226	168
Dph5	62	85	47	358	334	242
Mir669n	0	0	0	3	0	0
Vcam1	184	1497	1230	309	378	9322
Extl2	11	25	12	75	71	105
Gpr88	0	0	0	0	0	2
Rtca	315	375	206	902	1214	922
Sass6	49	119	70	305	280	272
Trmt13	9	31	9	66	59	47
Lrrc39	0	5	1	16	4	23
Slc35a3	84	220	87	513	454	696
Frrs1	15	12	8	77	92	140
Palmd	1	0	0	0	0	0
Plppr4	0	0	0	0	0	1
Ptbp2	35	122	30	279	179	233
Rwdd3	2	7	1	14	18	20
Alg14	33	44	19	99	138	109
Cnn3	12	25	18	191	81	56
F3	11	0	0	1	1	1
A730020M07Rik	1	0	0	0	0	0
Arhgap29	10	44	17	27	77	90
Dnttip2	155	555	242	1292	1141	757
Gclm	87	88	76	384	225	286
1810037I17Rik	265	420	201	774	1092	668
4933405D12Rik	0	0	0	2	0	0
Mettl14	91	128	67	429	452	393
Snhg8	128	201	75	359	524	305
Mir302a	0	0	0	1	0	0
Larp7	368	717	374	1657	1772	1213
Zgrf1	77	164	75	509	397	492
Mir302b	0	0	0	2	0	0
